ID,Name,DOB,Gender,Yearly Income

1,Ayush,2024-09-09,Male,0.02
2,Ayush,2024-09-09,Male,0.01
3,Ayush,2024-09-09,Male,0.01
4,Ayush,2024-09-09,Male,0.01
5,Ayush,2024-09-09,Male,0.01
6,Ayush,2024-09-09,Male,0.01
7,Arya,2024-09-09,male,0.02
8,Arya,2024-09-10,male,0.05
9,Arya,2024-09-10,Male,0.09999999999999999
10,Arya,2024-09-10,male,0.05
11,Arya,2024-09-10,male,0.02
12,Arya,2024-09-10,adaw,0.0
13,Arya,2024-09-10,male,0.060000000000000005
14,Arya,2024-09-10,male,0.0
15,Arya,2024-09-11,male,0.01
16,Arya,2024-09-11,Male,0.02
17,Arya,2024-09-11,male,0.0
18,Arya,2024-09-11,male,0.01
19,Arya,2024-09-11,male,0.02
20,Arya,2024-09-11,male,0.02
21,Arya,2024-09-11,male,0.02
22,Arya,2024-09-11,male,0.10999999999999999
23,Arya,2024-09-11,male,0.04
24,Arya,2024-09-11,male,0.0
25,Arya,2024-09-11,male,0.0
26,Arya,2024-09-11,male,0.0
27,Arya,2024-09-12,male,0.01
28,Arya,2024-09-12,male,0.01
29,Arya,2024-09-12,male,0.01
30,Arya,2024-09-12,male,0.01
31,Arya,2024-09-12,male,0.01
